Commodity,Detailed_Comm_code,Detailed_Comm_Name,Abstract_Comm_code,Abstract_Comm_Name
PATHER,3,Stone,2,"Construction Materials (Cement, Bricks, Stones, Tiles, Blocks, etc.)"
ROCK,3,Stone,2,"Construction Materials (Cement, Bricks, Stones, Tiles, Blocks, etc.)"
ROCK STONES,3,Stone,2,"Construction Materials (Cement, Bricks, Stones, Tiles, Blocks, etc.)"
ROCKS,3,Stone,2,"Construction Materials (Cement, Bricks, Stones, Tiles, Blocks, etc.)"
RODDI,3,Stone,2,"Construction Materials (Cement, Bricks, Stones, Tiles, Blocks, etc.)"
Small Stone,3,Stone,2,"Construction Materials (Cement, Bricks, Stones, Tiles, Blocks, etc.)"
STOE,3,Stone,2,"Construction Materials (Cement, Bricks, Stones, Tiles, Blocks, etc.)"
STOME,3,Stone,2,"Construction Materials (Cement, Bricks, Stones, Tiles, Blocks, etc.)"
STON,3,Stone,2,"Construction Materials (Cement, Bricks, Stones, Tiles, Blocks, etc.)"
STONE,3,Stone,2,"Construction Materials (Cement, Bricks, Stones, Tiles, Blocks, etc.)"
STONE ,3,Stone,2,"Construction Materials (Cement, Bricks, Stones, Tiles, Blocks, etc.)"
STONE  ,3,Stone,2,"Construction Materials (Cement, Bricks, Stones, Tiles, Blocks, etc.)"
